promedio_global,materias_reprobadas,edad,apoyo_familiar,minutos_traslado,horas_estudio,horas_trabajo,horas_sueno,frecuencia_IA,escuela,genero,dependientes_economicos,personas_a_cargo,apoyos_economicos,foraneo,validacion_encuesta,enfermedad_cronica,satisfaccion_carrera,ejercer_carrera
7.0,0.0,21,5,150.0,2.0,6.0,2.0,4,0,1,0,1,1,0,2,0,1,1
9.7,0.0,19,3,10.0,3.0,0.0,7.0,4,8,1,0,1,1,1,2,0,2,2
7.9,3.0,19,3,180.0,1.0,2.0,5.0,3,8,0,1,1,1,1,2,0,2,1
7.5,5.0,22,5,70.0,4.0,0.0,5.0,4,0,0,0,1,0,0,2,0,2,1
8.8,0.0,24,5,120.0,5.0,0.0,4.0,4,0,0,0,1,1,1,2,0,2,2
9.0,1.0,20,5,30.0,4.0,0.0,5.0,1,1,0,1,1,1,0,2,0,2,2
8.3,1.0,23,5,120.0,3.0,0.0,6.0,2,0,0,0,1,1,0,2,0,2,2
8.0,5.0,23,1,120.0,4.0,0.0,3.0,1,0,0,0,1,1,0,2,0,1,1
8.1,3.0,20,3,30.0,3.0,5.0,5.0,3,8,0,0,1,1,1,2,0,0,2
7.8,2.0,21,3,120.0,4.0,0.0,4.0,2,0,1,0,1,0,0,2,0,2,2
7.9,1.0,19,4,10.0,2.0,0.0,7.0,3,8,0,0,1,0,1,2,1,2,2
8.0,1.0,22,3,90.0,12.0,0.0,5.0,2,0,0,0,1,1,0,1,0,2,2
0.0,0.0,20,3,120.0,5.0,0.0,4.0,1,0,0,0,1,1,0,2,0,0,0
0.0,0.0,18,4,120.0,2.0,0.0,4.0,3,0,1,0,1,1,0,2,0,2,2
5.7,3.0,20,3,90.0,4.0,0.0,3.0,2,0,0,0,1,1,0,2,0,2,2
5.5,8.0,23,1,120.0,3.0,2.0,6.0,3,0,1,0,1,1,1,2,0,2,2
8.9,0.0,23,5,180.0,3.0,0.0,3.0,3,8,0,1,2,1,1,2,0,2,2
7.5,5.0,19,5,120.0,4.0,0.0,7.0,5,0,1,1,1,1,0,2,0,2,2
7.8,4.0,23,4,120.0,4.0,0.0,4.0,3,8,0,0,1,1,0,2,0,2,2
7.8,5.0,17,5,120.0,4.0,0.0,4.0,2,0,0,1,2,1,0,2,0,2,2
5.1,4.0,20,3,180.0,2.0,0.0,4.0,3,0,1,0,1,1,0,2,0,0,1
6.0,7.0,20,5,120.0,3.0,0.0,6.0,5,0,1,0,1,1,1,2,0,2,2
7.8,3.0,22,4,40.0,4.0,0.0,5.0,4,0,0,0,1,0,0,2,0,2,2
7.0,3.0,21,3,150.0,3.0,2.0,12.0,2,0,0,1,1,1,0,2,0,2,2
7.4,2.0,22,5,100.0,2.0,0.0,6.0,3,0,1,1,1,1,0,2,0,2,2
7.1,6.0,23,5,70.0,3.0,0.0,5.0,1,0,1,0,1,1,0,2,0,2,2
7.9,4.0,20,4,60.0,4.0,0.0,5.0,2,7,0,0,1,1,0,2,0,2,2
